Date,Value_avg_temp,Anomaly_avg_temp,Value_max_temp,Anomaly_max_temp,Max_Temp,Anomaly_x,Precipitation,Anomaly_y,PDSI,Anomaly
1970-01-01 00:00:00.000189501,26.69,-3.43,36.86,-3.63,16.52,-3.23,1.47,0.99,3.32,1.01
1970-01-01 00:00:00.000189502,26.6,-7.22,37.65,-7.17,15.57,-7.25,-0.45,-0.95,1.41,-0.72
1970-01-01 00:00:00.000189503,39.97,-1.53,52.07,-0.94,27.86,-2.13,-0.83,-1.2,1.99,-0.52
1970-01-01 00:00:00.000189504,52.9,1.85,66.33,2.85,39.45,0.84,-1.42,-1.74,1.99,-0.53
1970-01-01 00:00:00.000189505,59.94,-0.26,72.81,-0.15,47.05,-0.39,0.04,-0.3,2.88,-0.03
1970-01-01 00:00:00.000189506,67.8,-0.69,80.89,-0.45,54.72,-0.9,0.2,-0.09,2.95,0.02
1970-01-01 00:00:00.000189507,71.24,-2.37,83.91,-2.77,58.55,-1.99,0.77,0.39,3.0,0.22
1970-01-01 00:00:00.000189508,71.62,-0.48,84.9,-0.24,58.32,-0.74,0.93,0.48,2.53,-0.09
1970-01-01 00:00:00.000189509,65.57,0.71,78.73,0.92,52.38,0.48,-0.89,-1.34,1.58,-0.91
1970-01-01 00:00:00.000189510,50.85,-3.26,64.54,-2.26,37.15,-4.26,-1.42,-1.85,1.08,-1.08
1970-01-01 00:00:00.000189511,39.16,-2.53,50.09,-2.62,28.24,-2.44,0.05,-0.37,2.29,0.06
1970-01-01 00:00:00.000189512,31.71,-0.97,42.08,-0.68,21.33,-1.27,0.1,-0.33,2.53,0.18
1970-01-01 00:00:00.000189601,31.48,1.36,41.41,0.92,21.52,1.77,0.28,-0.2,2.4,0.09
1970-01-01 00:00:00.000189602,35.04,1.22,46.56,1.74,23.52,0.7,0.31,-0.19,2.05,-0.08
1970-01-01 00:00:00.000189603,38.03,-3.47,49.42,-3.59,26.62,-3.37,0.45,0.08,2.41,-0.1
1970-01-01 00:00:00.000189604,52.34,1.29,64.38,0.9,40.32,1.71,-0.03,-0.35,2.59,0.07
1970-01-01 00:00:00.000189605,62.46,2.26,74.77,1.81,50.14,2.7,-0.24,-0.58,2.96,0.05
1970-01-01 00:00:00.000189606,69.89,1.4,83.26,1.92,56.52,0.9,-0.59,-0.88,2.64,-0.29
1970-01-01 00:00:00.000189607,73.69,0.08,86.0,-0.68,61.34,0.8,-0.27,-0.65,3.22,0.44
1970-01-01 00:00:00.000189608,72.27,0.17,85.39,0.25,59.13,0.07,-0.93,-1.38,2.0,-0.62
1970-01-01 00:00:00.000189609,62.94,-1.92,75.27,-2.54,50.59,-1.31,0.46,0.01,2.78,0.29
1970-01-01 00:00:00.000189610,51.91,-2.2,64.11,-2.69,39.69,-1.72,0.63,0.2,2.15,-0.01
1970-01-01 00:00:00.000189611,38.32,-3.37,48.47,-4.24,28.17,-2.51,1.5,1.08,3.07,0.84
1970-01-01 00:00:00.000189612,35.55,2.87,45.79,3.03,25.32,2.72,1.1,0.67,1.5,-0.85
1970-01-01 00:00:00.000189701,28.17,-1.95,37.65,-2.84,18.66,-1.09,1.25,0.77,2.39,0.08
1970-01-01 00:00:00.000189702,33.39,-0.43,43.29,-1.53,23.49,0.67,1.96,1.46,2.79,0.66
1970-01-01 00:00:00.000189703,38.79,-2.71,49.32,-3.69,28.27,-1.72,3.11,2.74,3.62,1.11
1970-01-01 00:00:00.000189704,51.15,0.1,63.43,-0.05,38.88,0.27,-0.05,-0.37,2.42,-0.1
1970-01-01 00:00:00.000189705,61.18,0.98,74.61,1.65,47.71,0.27,-0.88,-1.22,2.12,-0.79
1970-01-01 00:00:00.000189706,68.11,-0.38,80.91,-0.43,55.31,-0.31,-0.83,-1.12,2.88,-0.05
1970-01-01 00:00:00.000189707,73.36,-0.25,86.41,-0.27,60.3,-0.24,-0.73,-1.11,2.93,0.15
